songName,artists,lyricists,musicComposers,genres,lyrics,metaphors
Namal Pipila – නාමල් පිපිලා,T.M.Jayarathna,Kularathna Ariyawansa,Rohana Weerasingha,Old Pops,"නාමල් පිපිලා මේ වැව් ඉවුරේ
නා තුරු සෙවනැල්ලේ මල් පාවඩ සැදිලා
බලා සිටින්නේ
ඔබේ දෙපා පොඩි සිප ගන්නයි...//
පාළු සැඳෑවේ මේ වැව් ඉවුරේ
මගේ දෙනෙත් මග බලා හිඳින්නේ...//
පුරා සඳක්සේ වනලිය අතරින්
ඔබේ සිනාවත පිපෙන තුරා
නීල තලාවේ මේ ගඟුලැල්ලේ
රිදී කඳන් සැලි සැලී රඟන්නේ...//
නදී සඳැල්ලේ රන්කම් විලසින්
ඔබේ දෙපා යුග නැගෙන තුරා","[{'metaphor': පුරා සඳක්සේ වනලිය අතරින් ඔබේ සිනාවත පිපෙන තුරා, 'interpretation': 'ඔබ සිනහ වෙන තුරු'}, {'metaphor': පුරා සඳක්සේ වනලිය අතරින් ඔබේ සිනාවත පිපෙන තුරා, 'interpretation': 'ඔබ පැමිණෙන තුරු'}]"
Oba Ha Mema – ඔබ හා මෙමා,T.M.Jayarathna,Wimala R Pieris,H.M.Jayawardhana,"Old Pops,Classics","ඔබ හා මෙමා අතිනත් අරන්
අපගේ ලොවේ තනිවු එදා
ඔබ මා දෙපා දෑතින් බදා
සිප ගත් එදා සිහිවෙනවා
සිප ගත් එදා සිහිවෙනවා
භවයෙන් භවේ මෙලෙසින් බැඳී
අප ආ ගමන් අමතක වුවත්
ඔබගෙයි මගෙයි හද මන්දිරෙන්
නැග ආ ස්වරේනැග ආ ස්වරේ - එක් වූ දිනේ සිහිවෙනවා
එක් වූ දිනේ සිහිවෙනවා
ඔබ මා දෙනෙත් ම ඔබේ දෙනෙත්
එක් වී වෙලි සෙනෙහස සෙවූ
ඒ සොඳුරු දා සිහිවෙනවා
ඒ සොඳුරු දා සිහිවෙනවා","[{'metaphor': 'ඔබගෙයි මගෙයි හද මන්දිරෙන් නැග ආ ස්වරේ', 'interpretation': 'අපි දෙදෙනාගෙම සිතුවිලි'}]"
Adaraye Wedanawa – ආදරයේ වේදනාව,Nanda Malani,Kithsiri Nimal Shantha,Rohana Weerasingha,Old Pops,"ආදරයේ වේදනාව හදට දැනුනු යම් දවසක
හුදකලාව නොතැවී යලි
එන්න මා සොයා….. එන්න මා සොයා//
දේදුනු පැහැයෙන් දිදුලන ආදර විජිතය හැරදා
රැජින පලා ගිය මොහොතක
නොතැවී යලි ඈ සිහිකර
එන්න මා සොයා….. එන්න මා සොයා//
ජීවිතයට මිහිර ලතැවුල ඔබ තුරුලට ලංවූදා
නොතැවී හිද තනියහනේ
මතක සුලං රොදක එතී
එන්න මා සොයා….. එන්න මා සොයා//","[{'metaphor': 'ආදර විජිතය හැරදා රැජින පලා ගිය මොහොතක', 'interpretation': 'කාන්තාව විසින් ආදර සම්බන්ධය නවතා දැමූ විට'}]"
Adara Hangum – ආදර හැඟුම්,W.D.Amaradewa,Dayananda Gunawardhana,Somadasa Elvitigala,"Classics,Request,Movie Songs","ආදර හැඟුම් ආදර හැඟුම්
නුපුරුදුයි මට නුපුරුදුයි ඒ හැඟුම්
ආදර හැඟුම් ආදර හැඟුම්
කිතිකවයි හද කිතිකවයි ඒ හැඟුම්
ආදර හැඟුම් ආදර හැඟුම්
ආදර හැඟුම්
සැඳෑ අඳුරේ සැළෙන තරු එළි
මගේ හද තුළ කරයි විමසිලි//
නැගෙන ගනඳුර වඩයි සිතුවිලි
මේ මඟුල් රෑ බිඳෙයි ඉවසිලි
කිමද ඔබ මල් කුමරියන්නේ
පෙති විදා සතුටින් නොඉන්නේ//
රහස නැතිවද මං නොදන්නේ
තුරුළෙ බමරුන් නොවෙද ඉන්නේ","[{'metaphor': 'මල් කුමරියන්නේ', 'interpretation': 'ලස්සන මල්'}]"
Ammawarune – අම්මාවරුනේ,Nanda Malani,Dharmasiri Gamage,Premasiri Khemadasa,"Classics,Movie Songs","අම්මා..ආ….වරුනේ..ඒ
අම්මා..ආ…. වරුනේ
සම්මා සම්බුදු අම්මාවරුනේ
දරුවන්ගේ දුක් කඳුළු දකින දා
සුර ලොව සිට අත පා…… ආ
ඒ කඳුළැලි පිසිනා
අම්මාවරු නැති දරුවන්නේ
සංකා දුක් කවුදෝ දන්නේ
ඒ දුක දන්නා අම්මාවරුමයි
යම් මතු දිනයක බුදු වන්නේ
සංසාරේ මතු බුදු වන්නේ
සෙනෙහස වැඩි දා සිතද බොළද වේ
ලොවම ආදරේ කියා සිතී
මායාවක්වී එහි තනිවූ දා
අම්මා පමණයි ළඟ ඉන්නේ
අම්මා පමණයි ළඟ ඉන්නේ","[{'metaphor': 'කඳුළැලි පිසිනා', 'interpretation': 'දුක නැති කිරීම'}]"
Ahasa Se Oba – අහස සේ ඔබ,Nanda Malani,Sunil Ariyarathna,Rohana Weerasingha,"Classics,New Pop","අහස සේ ඔබ අනන්තයි
සයුර සේ ඔබ අනන්තයි..//
මේ විශ්වයේ මා දකින්නේ…..ඒ
ඔබමැ පමණයි...ඔබ අනන්තයි
අනන්තයි
වෙණ තතක් හැඩවෙන තැනත් ඔබ
මදුවිතක් උතුරන තැනත් ඔබ...
තෙළිතුඩක් දැවටෙන තැනත් ඔබ
පන්හිඳක් ගැවසෙන තැනත් ඔබ
අඩ සඳක් සැගවෙන තැනත් ඔබ
රළ පෙළක් පෙරලෙන තැනත් ඔබ..
සිසිලසක් දනවන තැනත් ‍ඔබ
උණුසුමක් ගෙනදෙන තැනත් ඔබ","[{'metaphor': 'අහස සේ ඔබ අනන්තයි', 'interpretation': 'ඔබ අසීමිතයි'}, {'metaphor': 'සයුර සේ ඔබ අනන්තයි', 'interpretation': 'ඔබ අසීමිතයි'}]"
Ayanna Kiyanna – අයන්න කියන්න,Nanda Malani,Sunil Ariyarathna,Mervin Perera,"Inspirational,Classics","අයන්න කියන්න ලොවටම ඇහෙන්න
එන්න මගේ මල්ලී
දුවන්න පනින්න නටන්න ගයන්න
එන්න මගේ නංගී//
පාසල නම් රන් දෙවොලේ
දෙවියන් වන් ගුරු කැළගේ
සිත දිනමින් පා හෙවණේ
ශිල්ප ලබා මතු දවසේ
ලෝකය දකින්න එහි සැරිසරන්න
එන්න මගේ මල්ලී එන්න මගේ නංගී
කාසි පනම් හිටි හැටියේ
සතුරෝ ගෙන යති රහසේ
පොතින් පතින් ලද දැණුමේ
ධනය සදාකල් සුරැකේ
ඥානය වඩන්න කාලය ගෙවන්න
එන්න මගේ මල්ලී එන්න මගේ නංගී","[{'metaphor': 'පාසල නම් රන් දෙවොලේ', 'interpretation': 'පාසල නැමැති උතුම් ස්ථානයේ'}, {'metaphor': 'දෙවියන් වන් ගුරු කැළගේ', 'interpretation': 'උතුම් ගුරුවරුන්ගේ'}]"
Adawan Wu Denethin Galana – අඩවන් වූ,W.D.Amaradewa,,"Music,W.D.Amaradewa","Inspirational,Classics","අඩවන් වූ දෙනෙතින් ගලනා
මෙත් මුදිතා කරුණා ධාරා //
තෙමා තෙමා හද ගලා ගලා යන
ලොව්තුරු ගුණ මහිමේ
මහමෙව්නා උයනේ …………
සමාධි බුදු පිළිමේ
අඩවන් වූ දෙනෙතින් ගලනා
මෙත් මුදිතා කරුණා ධාරා
පිරි' ඉතිරී යන මහ වතුරක් සේ
ගලා හැලෙන සිහිළැල් ගඟුලක් සේ
ගිමන් නිවාලන මේ භව කතරේ
නිවන් සදා ලන බුදු ගුණ මහිමේ
මහමෙව්නා උයනේ …………
සමාධි බුදු පිළිමේ","[{'metaphor': 'භව කතරේ', 'interpretation': 'දුෂ්කර භවය'}]"
Abhisarikawange – අභිසාරිකාවන්ගේ,Gunadasa Kapuge,Sunil Ariyarathna,Gunadasa Kapuge,"Old Pops,Classics","අභිසාරිකාවන්ගේ උන්මාද නෙතු අතරේ
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ
අභිසාරිකාවන්ගේ
රාග ගිනි ජාලාවේ
ප්‍රේමයේ උණුසුම් සුසුමේ
වෙනස ඔබෙනි දැනුනේ…..ඒ
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ
ආදරය යන වදනේ
මනු‍ලොවේ මිනිසත් භවයේ
මහිම ඔබෙනි හැඟුනේ….ඒ
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ","[{'metaphor': 'රාග ගිනි ජාලාවේ', 'interpretation': 'රාගය නැමති විනාශකාරී දෙය'}, {'metaphor': 'ප්‍රේමයේ උණුසුම් සුසුමේ', 'interpretation': 'ප්‍රේමය නැමති ආදරනීය දෙය'}]"
Aradhana – ආරාධනා,W.D.Amaradewa,,"Music,Rohana Weerasinghe",Old Pops,"ආරාධනා……. ආරාධනා
ජීවිතයේ තනි මංසල අතරමං වෙලා
හුදෙකලාව සුසුම් හෙලන හදවත සනහා
අතීතයේ ගිලිහී ගිය සතුට රැගෙන යලි වඩින්න
ආරාධනා ආරාධනා
නෙලූ සුපෙම් කැටයම් හද පවුරැ තලාවේ
මැකී ගියාදෝ……………කාලයේ වෙරළේ
ජීවිතයේ දිගු ගමනින් අනාත වූ දා
සෙනේහයේ සත් පියුමන් යළිදු පිපේවා
ආරාධනා ආරාධනා
එදා සිඟිති කිරි සුවඳින් යුග දිවි අරණේ
ඔබේ උණුසුමේ………………….යළිදු උපන්නෙම්
බිඳුණු එවන් රජ දහනින් සමු ගෙන යනදා
ඔබේ නුවන් පහනින් යළි එළිය ලැබේවා
ආරාධනා ආරාධනා","[{'metaphor': 'ජීවිතයේ තනි මංසල', 'interpretation': 'තනි නැවතුම්ක් වන ජීවිතයේ'}, {'metaphor': 'සෙනේහයේ සත් පියුමන්', 'interpretation': 'ලස්සන සෙනෙහසින්'}]"
Awado Sansare – ආවාදෝ,Gunadasa Kapuge,Mahinda Dissanayaka,Gunadasa Kapuge,"Old Pops,Classics","ආවාදෝ........ සංසාරේ//
මා හා බැදී  - සැමදා….. පාවි මාගෙ
සෙවනැල්ල සේ
ආවාදෝ........ සංසාරේ//
ඔරුවක් පාවුනා පාලුවේ සාගරේ
තොටියෙක් යාවුනා සිරුවේ සීතලේ//
මිහිරේ ගී ගැයුනාවේ තනිය නසා
තනිය නසා
කතරේ වාලුකා පැයුමෙන් වේලුනා
වැහැලා ඒ බිමෙ මී මලක් පිදුනා//
සිහිල ලබා සිහිලැල්ලෙ නිවී ගියා
නිවී ගියා","[{'metaphor': 'පාවි මාගෙ සෙවනැල්ල සේ', 'interpretation': 'මා සමග සැමවිටම සිටියා'}]"
Bimbarak Senaga – බිම්බරක්,Gunadasa Kapuge,Rathna Sri Wijesinge,Gunadasa Kapuge,Old Pops,"බිම්බරක් සෙනග ගැවසුන චන්ද්‍ර සූර්යා ඉපදුන
ස්වර්ණ භූමියේ මනරම් මාළිගාව කෝ
යුද්දේකට ඇවිත් රුපුසෙන් සත් මුහුදුමතින් ගුවනින්
කම්බි වට කලේ මනරම් මාළිගාවදෝ
මාළිගාවදෝ
ට්‍රැක්ටරේ යකඩ ගජසෙන් කුංචනාදයෙන් ඇලළුන
වෘක්ශ දේවතාවන් බිම වැටී පණ ගසයි
මිනී මල් පිපුන සීතල නිම්න භූමියේ ඇටකටු
හතර රියන් කඩ අහිමිව විලාපය නගයි
විලාපය නගයි
කැළෑ මල්පිපී රතු තොල් වලින් කෑගසා ඉල්ලන
ජාතියේ නිධානය රන් රුවන් කරඬු කොයි
වෑකන්ද කඩා බිම්කටු කම්බියෙන් බෙදා මේ රණ
බිමේ හිසගසා දමනා කඩුව බිම දමව්
කඩුව බිම දමව්","[{'metaphor': 'ස්වර්ණ භූමියේ', 'interpretation': 'උතුම් වූ භූමිය'}]"
Ayiyandiye – අයියන්ඩියේ,Gunadasa Kapuge,Nimal Ananada,Gunadasa Kapuge,Classics,"අයියන්ඩියේ නුඹ ඇවිදින් ගිය දවසේ
ගිණි ඇවිලුනා කැනිමඬලකැනිමඬලට අපෙ නිවසේ
එක පත අනා එකටම කෑ පෙර දවසේ
මං අමතකද නුඹ රජ වූ අද දවසේ
අම්මා එක්ක දබරව පැද ගිය වත්තේ
ලැම දා ගියා බත හිර වුනි කුස ගින්නේ
දෑසේ කඳුළු වැහි පොද ලෙස වෑහෙන්නේ
වී පෑලකට ඇයි උබ විරසක වෙන්නේ
ඉරට සැපක්දෝ නියඟය දළුලෑම
සඳට සැපක්‍දෝ ඝණ දුර පීදීම
නුඹට සැපක්දෝ අපි තනිකර යෑම
මහ පොළවකට නඩු හබ ඇයි ගතු කීම","[{'metaphor': 'ගිණි ඇවිලුනා කැනිමඬලට අපෙ නිවසේ', 'interpretation': 'අපේ පව්ලට විශාල ප්‍රශ්නයක් වුනා'}]"
Budu Karuna – බුදු කරුණා,Nanda Malani,Anuradha Senevirathne,Nanda Malani,"Inspirational,Classics,Buddhist songs","බුදු කරුණා දෑස තෙමී
මෙත් සිහිලැලි ඇද හැලුණා
නිවා තාප ලෝ කතරේ
අමා වතුර ගලා බසී
බුදු කරුණා දෑස තෙමී
කඳු වැටිවල නිසොල්මනේ
ගහ කොළ මල් පිපී නටයි//
නැවුම් පොළොව නව නිල්ලේ
බුදු සිරිපා පහස ලබයි
කෙළෙස් මලින් උකටලි සිත
නිවා තවන සුවය සොයයි//
නිසල ඔබේ බුදු රුව ළඟ
මගෙ හද භාවනා කරයි","[{'metaphor': 'නිවා තාප ලෝ කතරේ', 'interpretation': 'ලෝකයේ දුක් වලට පිහිට වූවා'}, {'metaphor': 'කෙළෙස් මලින් උකටලි සිත', 'interpretation': 'කෙලෙස් වලින් කිලිටි වූ සිත'}]"
Deno Dahak Nuwan – දෙනෝ දාහක්,Nanda Malani,Kularathna Ariyawansa,Victor Rathnayaka,"Classics,Movie Songs","දෙනෝ දාහක් නුවන් අතරේ
කවුරුදෝ මා
තනි කළේ….. තනි කළේ
…..පාසැල් බිමේ
සිනා කෙළිලොල් තෙපුල් රහසේ
දෙඩූ තැන් අද ගොළු වෙලා
සොඳුරු පාසැල් පියස
කඳුලින් බොඳ වෙලා
කැදැල්ලෙන් ඔබ වෙන් වෙලා
නිබඳ ඔබ මා ඇවිද ගිය තැන්
සෙවණ දුන් ගහ කොළ පුරා
බිමට බරවුණු කැකුළු
අතු ඉති මැලවිලා
දුකින් හදවත ගොළුවෙලා","[{'metaphor': 'කැදැල්ලෙන්', 'interpretation': 'පව්ලෙන්'}]"
